,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
157,Quem Me Dera,Márcia Fellipe,804956,https://open.spotify.com/track/2lAyctg5FocS67eksHoyIg,12/27/2019,1/3/2020,Brazil
158,Morena Cor do Pecado,MC Kevin o Chris,803305,https://open.spotify.com/track/3N6isgIE6SAFbRfRIbQ3sd,12/27/2019,1/3/2020,Brazil
159,Do jeito que tu gosta,Pk,791224,https://open.spotify.com/track/34D0w6kVzuQ35vyHIFrWTC,12/27/2019,1/3/2020,Brazil
160,Piece Of Your Heart - Alok Remix,MEDUZA,786942,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW,12/27/2019,1/3/2020,Brazil
161,Watermelon Sugar,Harry Styles,784055,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Brazil
162,"Quem Pegou, Pegou - Ao Vivo",Henrique & Juliano,780217,https://open.spotify.com/track/2jxfsaODfcVQhKMZPuYK2j,12/27/2019,1/3/2020,Brazil
163,Sua Mãe Vai Me Amar,Turma do Pagode,778872,https://open.spotify.com/track/4fMjqKYYsvtT6Fvca8lGFl,12/27/2019,1/3/2020,Brazil
164,Positividade,Mc Bola,773412,https://open.spotify.com/track/1YAtg8jo5fR3Q01eO2jPTl,12/27/2019,1/3/2020,Brazil
165,Para não,MC WM,766424,https://open.spotify.com/track/23GNCotvXa7WPvgYuruJjE,12/27/2019,1/3/2020,Brazil
166,7 Dias 7 Corpos,Dj Guuga,765234,https://open.spotify.com/track/75G8U8YHMcHirBsO0we3zR,12/27/2019,1/3/2020,Brazil
167,Pesquisa no Google (feat. Henrique & Diego) - Ao Vivo,Turma do Pagode,765094,https://open.spotify.com/track/1xg3EbmhAr1cfNOA55pvKH,12/27/2019,1/3/2020,Brazil
168,Tudo de bom,Pk,764823,https://open.spotify.com/track/3YqLyRFwjGuPBT7EHoyQH7,12/27/2019,1/3/2020,Brazil
