,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
149,"Punya Paap",DIVINE,310856,https://open.spotify.com/track/3zIhQR5cyxpVn8WpEivBCr
150,"Shona Shona","Tony Kakkar",310489,https://open.spotify.com/track/4OPlDG7JilNzoNfkH2ZRWy
151,"Vaathi Coming","Anirudh Ravichander",307991,https://open.spotify.com/track/2BcPFQ7nrtUObgAs72xaac
152,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")","Tony Kakkar",306395,https://open.spotify.com/track/7ofWUKeNCUw1P64ArIwG9b
153,"Mad at Disney","salem ilese",304691,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
154,"Sun Fer","Khan Bhaini",304670,https://open.spotify.com/track/44s5YGWmZoz9rKaEBXmXXp
155,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",303538,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
156,"Sugar & Brownies",DHARIA,303469,https://open.spotify.com/track/3EZocpoj4dsFqsluUGHnwT
157,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,303041,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
158,"Tum Se Hi","Mohit Chauhan",302836,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE
159,Cradles,"Sub Urban",302662,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
160,"Holy (feat. Chance The Rapper)","Justin Bieber",302088,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
161,Daisy,Ashnikko,300298,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
162,"Ek Raat",Vilen,300235,https://open.spotify.com/track/2jHicGSFIXm8dUdGz2wwzx
163,"Humdard (From ""Ek Villain"")","Arijit Singh",300202,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq
164,"Ik Tera","Maninder Buttar",299322,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7
165,"8 Parche","Baani Sandhu",298922,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
166,"Watermelon Sugar","Harry Styles",298224,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
167,Telepathy,BTS,297673,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
168,Attention,"Charlie Puth",296602,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
169,"Jaan Ban Gaye",Mithoon,294159,https://open.spotify.com/track/30CDYWqqitNHUa0DGaUeIE
170,"The Box","Roddy Ricch",293707,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
171,"‘tis the damn season","Taylor Swift",293053,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA
172,Vail,"Mankirt Aulakh",292977,https://open.spotify.com/track/1bqAnuqlgbQ55AByEp0SmM
