,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
120,Here With Me,Marshmello,14565,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,12/27/2019,1/3/2020,South Africa
121,RITMO (Bad Boys For Life),Black Eyed Peas,14561,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,South Africa
122,Africa,TOTO,14552,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,12/27/2019,1/3/2020,South Africa
123,3 Nights,Dominic Fike,14514,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,12/27/2019,1/3/2020,South Africa
124,Fetch Your Life - Edit,Prince Kaybee,14503,https://open.spotify.com/track/2agd8zFjkoJi4CffsR4V2O,12/27/2019,1/3/2020,South Africa
125,Truth Hurts,Lizzo,14463,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,12/27/2019,1/3/2020,South Africa
126,SICKO MODE,Travis Scott,14462,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,12/27/2019,1/3/2020,South Africa
127,Drive (feat. Delilah Montagu) - Edit,Black Coffee,14426,https://open.spotify.com/track/6X7PK2UQMUU36ux9pynSkV,12/27/2019,1/3/2020,South Africa
128,Boerepompie (feat. Snotkop),Ricus Nel,14191,https://open.spotify.com/track/46x1zSvuhlRxGi0iQ64i65,12/27/2019,1/3/2020,South Africa
129,Shape of You,Ed Sheeran,14163,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,12/27/2019,1/3/2020,South Africa
130,Bohemian Rhapsody - Remastered 2011,Queen,14142,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,12/27/2019,1/3/2020,South Africa
131,Thank You Mr DJ,DJ Tira,14052,https://open.spotify.com/track/0PSnaDvSByWGUWorS25mpb,12/27/2019,1/3/2020,South Africa
132,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,13992,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw,12/27/2019,1/3/2020,South Africa
133,Forever,Sithelo,13984,https://open.spotify.com/track/4Plx7wQRlChoMWmTYlMcP7,12/27/2019,1/3/2020,South Africa
134,Thunder,Imagine Dragons,13975,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,12/27/2019,1/3/2020,South Africa
135,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,13888,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,12/27/2019,1/3/2020,South Africa
136,Gigabyte - Radio Edit,Vusinator,13714,https://open.spotify.com/track/58aKHmQWtsDdeyKye15MGM,12/27/2019,1/3/2020,South Africa
137,Panini,Lil Nas X,13645,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,12/27/2019,1/3/2020,South Africa
138,If the World Was Ending - feat. Julia Michaels,JP Saxe,13546,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,12/27/2019,1/3/2020,South Africa
139,SAD!,XXXTENTACION,13505,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,12/27/2019,1/3/2020,South Africa
140,The Middle,Zedd,13471,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,12/27/2019,1/3/2020,South Africa
141,GATTI,JACKBOYS,13435,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,12/27/2019,1/3/2020,South Africa
142,Shesha,De Mthuda,13326,https://open.spotify.com/track/5TFJIUlWmQfJZCWVUcBX00,12/27/2019,1/3/2020,South Africa
143,Something Just Like This,The Chainsmokers,13172,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,12/27/2019,1/3/2020,South Africa
144,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,13156,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,12/27/2019,1/3/2020,South Africa
145,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,13111,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,12/27/2019,1/3/2020,South Africa
146,MIDDLE CHILD,J. Cole,13075,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,12/27/2019,1/3/2020,South Africa
147,I.F.L.Y.,Bazzi,13055,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,12/27/2019,1/3/2020,South Africa
148,Never Seen the Rain,Tones And I,13055,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,12/27/2019,1/3/2020,South Africa
149,Don't Call Me Up,Mabel,12879,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,12/27/2019,1/3/2020,South Africa
150,Nice To Meet Ya,Niall Horan,12795,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H,12/27/2019,1/3/2020,South Africa
151,Say You Won't Let Go,James Arthur,12691,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,12/27/2019,1/3/2020,South Africa
152,LOYAL (feat. Drake),PARTYNEXTDOOR,12641,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS,12/27/2019,1/3/2020,South Africa
153,Shotgun,George Ezra,12635,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,12/27/2019,1/3/2020,South Africa
154,One Thing Right,Marshmello,12629,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,12/27/2019,1/3/2020,South Africa
155,Wake Me Up,Avicii,12474,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,12/27/2019,1/3/2020,South Africa
156,Suicidal,YNW Melly,12463,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,12/27/2019,1/3/2020,South Africa
157,Bad Liar,Imagine Dragons,12450,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,12/27/2019,1/3/2020,South Africa
158,Closer,The Chainsmokers,12407,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,12/27/2019,1/3/2020,South Africa
159,i'm so tired...,Lauv,12395,https://open.spotify.com/track/2iwS33Jfev1QBiuhWVWZHY,12/27/2019,1/3/2020,South Africa
160,Baby Are You Coming?,Zero12Finest,12370,https://open.spotify.com/track/1mJLFakrexjxOg5m864cm0,12/27/2019,1/3/2020,South Africa
161,Believer,Imagine Dragons,12252,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,12/27/2019,1/3/2020,South Africa
162,Zaka,Mas Music,12176,https://open.spotify.com/track/3wfldFmVsFWAZZrqw8FxMp,12/27/2019,1/3/2020,South Africa
163,Be Alright,Dean Lewis,12155,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,12/27/2019,1/3/2020,South Africa
164,Post Malone (feat. RANI),Sam Feldt,12139,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,12/27/2019,1/3/2020,South Africa
165,Saturday Nights,Khalid,12099,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,12/27/2019,1/3/2020,South Africa
166,In My Mind,Dynoro,12082,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,12/27/2019,1/3/2020,South Africa
167,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,12039,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,12/27/2019,1/3/2020,South Africa
168,Saint-Tropez,Post Malone,11992,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq,12/27/2019,1/3/2020,South Africa
169,Who Do You Love,The Chainsmokers,11986,https://open.spotify.com/track/2fVHrSxsQbJUuj9MW9zG1e,12/27/2019,1/3/2020,South Africa
170,You're the One,Elaine,11986,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt,12/27/2019,1/3/2020,South Africa
171,Ibhanoyi,Blaq Diamond,11981,https://open.spotify.com/track/7Fouasv617zTRojaN3Fzqx,12/27/2019,1/3/2020,South Africa
