,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
128,Adictiva,Daddy Yankee,215889,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,12/27/2019,1/3/2020,Chile
129,MY BLOOD,Polimá Westcoast,215722,https://open.spotify.com/track/2hMemEDS1l5hrjLWwU1MNt,12/27/2019,1/3/2020,Chile
130,No Idea,Don Toliver,215655,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,12/27/2019,1/3/2020,Chile
131,Rebota - Remix,Guaynaa,214153,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11,12/27/2019,1/3/2020,Chile
132,Not Steady,Paloma Mami,212566,https://open.spotify.com/track/42ArfZUgGo3k5btIHp08it,12/27/2019,1/3/2020,Chile
133,Me gusta todo de ti,Noche de Brujas,212565,https://open.spotify.com/track/0WBpK4TdYkkRtpYaGixO2x,12/27/2019,1/3/2020,Chile
134,Deberia odiarte,Noche de Brujas,210142,https://open.spotify.com/track/0mErnrwJUNEMq6X5bu2I0u,12/27/2019,1/3/2020,Chile
135,Fantasias - Unplugged,Rauw Alejandro,209532,https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun,12/27/2019,1/3/2020,Chile
136,Me Rehúso,Danny Ocean,207602,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o,12/27/2019,1/3/2020,Chile
137,La player (Bandolera),Zion & Lennox,207104,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,12/27/2019,1/3/2020,Chile
138,"Si Te Marchas, No Hay Manera",Santaferia,205822,https://open.spotify.com/track/7lk2SWsLObPlO98pOvz6V0,12/27/2019,1/3/2020,Chile
139,Runaway,Sebastian Yatra,205791,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,12/27/2019,1/3/2020,Chile
140,Detective,Rauw Alejandro,204143,https://open.spotify.com/track/5lFl0Aksww4t4CGiYYtpZz,12/27/2019,1/3/2020,Chile
141,HP,Maluma,204110,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,12/27/2019,1/3/2020,Chile
142,Un Año Más,La Sonora De Tommy Rey,203632,https://open.spotify.com/track/7JlNLlXzFbeKusnGJzGawA,12/27/2019,1/3/2020,Chile
143,Mcntm - Remix,Marvel Boy,203542,https://open.spotify.com/track/2YuxPUZng7DMxnUOnCbE3e,12/27/2019,1/3/2020,Chile
144,Mariajuana,Los Vasquez,203274,https://open.spotify.com/track/41axLDYnS1sPpENZ654sCN,12/27/2019,1/3/2020,Chile
145,La Mas Linda,Casper Magico,202940,https://open.spotify.com/track/4whKi0lMYWNiV2IZBkTbYB,12/27/2019,1/3/2020,Chile
146,Por Eso Vine,Paulo Londra,202340,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu,12/27/2019,1/3/2020,Chile
147,Créeme,KAROL G,202331,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU,12/27/2019,1/3/2020,Chile
148,Solita,Sech,202149,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw,12/27/2019,1/3/2020,Chile
149,Reggaetón en lo Oscuro,Wisin & Yandel,201956,https://open.spotify.com/track/7LLXLd0pisbEAdIVK502VM,12/27/2019,1/3/2020,Chile
150,"BOTA FUEGO (feat. Dímelo Flow, Justin Quiles & Lenny Tavárez) - Remix",Mau y Ricky,200412,https://open.spotify.com/track/4MxYiw28F30NGOaTZ1ySqd,12/27/2019,1/3/2020,Chile
151,LuisMi,Polimá Westcoast,200127,https://open.spotify.com/track/4QXdarIBu7JDxVTTF4FHWE,12/27/2019,1/3/2020,Chile
152,Circles,Post Malone,198503,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Chile
153,Verano En París - Remix,Jerry Di,198178,https://open.spotify.com/track/6fIVDVyzymH4OAlNhJ93k3,12/27/2019,1/3/2020,Chile
154,Plata Ta Tá,Mon Laferte,197915,https://open.spotify.com/track/0937IXPkSlckRCq1WoHSEl,12/27/2019,1/3/2020,Chile
155,Chica Bombastic,Wisin & Yandel,196771,https://open.spotify.com/track/0PabDDMMzwmn9cfJsfes7W,12/27/2019,1/3/2020,Chile
156,Loco,Beéle,196322,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03,12/27/2019,1/3/2020,Chile
157,Si Se Da,Myke Towers,195639,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,12/27/2019,1/3/2020,Chile
158,No Se Me Quita (feat. Ricky Martin),Maluma,195132,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR,12/27/2019,1/3/2020,Chile
159,La Cartera,Farruko,194960,https://open.spotify.com/track/1g2Z2lOrwayOzDqOc8EfbR,12/27/2019,1/3/2020,Chile
160,A Solas - Remix,Lunay,194615,https://open.spotify.com/track/1fXEkSum1vbTa3w0yvYzYW,12/27/2019,1/3/2020,Chile
161,Te Soñé de Nuevo,Ozuna,193154,https://open.spotify.com/track/4oPnxZzoc8HM5Pva4FDeIp,12/27/2019,1/3/2020,Chile
162,Yo Tomo Licor,Amar Azul,191929,https://open.spotify.com/track/5EHRc2WJASyZg3alJqsbqU,12/27/2019,1/3/2020,Chile
163,Imposible,Luis Fonsi,191678,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF,12/27/2019,1/3/2020,Chile
164,Vaina Loca,Ozuna,190770,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,12/27/2019,1/3/2020,Chile
165,Bohemian Rhapsody - Remastered 2011,Queen,189311,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,12/27/2019,1/3/2020,Chile
166,"La Isla (with Sech & Dalex feat. Justin Quiles, La Exce, Feid, Zion)",Dímelo Flow,189302,https://open.spotify.com/track/0UfVfRSmy4xMyi67LKH5zZ,12/27/2019,1/3/2020,Chile
167,Para dormir contigo otra vez,Villa Cariño,188956,https://open.spotify.com/track/5MarqoT4wE5uNITGuEZams,12/27/2019,1/3/2020,Chile
168,Oye,TINI,187657,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE,12/27/2019,1/3/2020,Chile
169,Trátame Suavemente - Remasterizado 2007,Soda Stereo,186238,https://open.spotify.com/track/65DBZofI0b79kfHTcWWDuU,12/27/2019,1/3/2020,Chile
170,Me Vas a Extrañar - En Vivo,Damas Gratis,185564,https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW,12/27/2019,1/3/2020,Chile
171,Sistema,Zion & Lennox,184761,https://open.spotify.com/track/0qZ7oronoocHdFDKGBdgLQ,12/27/2019,1/3/2020,Chile
172,Mueve Lo Que Dios Te Dio,joel music,183382,https://open.spotify.com/track/5BAKerbfUwW5KboNuIPMmn,12/27/2019,1/3/2020,Chile
173,Tu Sicaria,Ms Nina,182957,https://open.spotify.com/track/6fatMybX8VmHUpaxVcXzrz,12/27/2019,1/3/2020,Chile
174,No Te Veo - Remix,Casper Magico,181589,https://open.spotify.com/track/0stKSegkdrfLTDvm5sIO38,12/27/2019,1/3/2020,Chile
