,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
89,Arrogante,Irama,453227,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV,12/27/2019,1/3/2020,Italy
90,CAPI DELLA TRAP (feat. Guè Pequeno),FSK SATELLITE,449131,https://open.spotify.com/track/4x67awdGDlWB3eIpQdkzqE,12/27/2019,1/3/2020,Italy
91,QUELLI CHE NON PENSANO - Il cervello (feat. Coez),Marracash,443195,https://open.spotify.com/track/6l1Jnqfu7GAOV4MDgA2bNP,12/27/2019,1/3/2020,Italy
92,Tuta Black,Paky,442002,https://open.spotify.com/track/7yYegdhi4lwCPPmyROOr4O,12/27/2019,1/3/2020,Italy
93,HO PAURA DI USCIRE 2 - prod. Mace,MACHETE,441365,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM,12/27/2019,1/3/2020,Italy
94,Look Back at It (feat. CAPO PLAZA),A Boogie Wit da Hoodie,439652,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G,12/27/2019,1/3/2020,Italy
95,MARYLEAN (feat. Marracash) - prod. Low Kidd,MACHETE,438169,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ,12/27/2019,1/3/2020,Italy
96,MELISSA P,FSK SATELLITE,436432,https://open.spotify.com/track/6Dc0dVdO1xJmEOadnhyPcS,12/27/2019,1/3/2020,Italy
97,QUALCOSA IN CUI CREDERE - Lo scheletro (feat. Guè Pequeno),Marracash,436128,https://open.spotify.com/track/39hRcGieqFaKfZ7LN91Vy5,12/27/2019,1/3/2020,Italy
98,Settimana Bianca,Il Pagante,434323,https://open.spotify.com/track/5BqUbKq9rCMrCkRtAiz8XA,12/27/2019,1/3/2020,Italy
99,Na Na Na,Holden,434155,https://open.spotify.com/track/3arKLum0IMREFOSq3OkpaF,12/27/2019,1/3/2020,Italy
100,Cenere,Nashley,433962,https://open.spotify.com/track/45xyKCey4BM3fMeFEsF1Hp,12/27/2019,1/3/2020,Italy
101,La hit dell'estate,Shade,426633,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu,12/27/2019,1/3/2020,Italy
