,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
159,Swing,Danny Ocean,12987,https://open.spotify.com/track/4DbhxwlkhTbCTqlZptxmI6,12/27/2019,1/3/2020,Bolivia
160,Por Eso Vine,Paulo Londra,12971,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu,12/27/2019,1/3/2020,Bolivia
161,Te Amo,Piso 21,12957,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH,12/27/2019,1/3/2020,Bolivia
162,Déjate Querer,Lalo Ebratt,12957,https://open.spotify.com/track/3mN2DtljBhnrIpc3Nu2pJ8,12/27/2019,1/3/2020,Bolivia
163,FRESH KERIAS,Feid,12951,https://open.spotify.com/track/6TvNO32huOBlWG5o69i1v7,12/27/2019,1/3/2020,Bolivia
164,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,12945,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,12/27/2019,1/3/2020,Bolivia
165,Mírame - Remix,Nio Garcia,12896,https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS,12/27/2019,1/3/2020,Bolivia
166,Me Voy,Rombai,12861,https://open.spotify.com/track/22sESxzbY1O1E19xjOTaYf,12/27/2019,1/3/2020,Bolivia
167,Nadie (feat. Sech & Sharo Towers) - Remix,Farruko,12856,https://open.spotify.com/track/6pNjmMB8FTMEcqGSgs7Mji,12/27/2019,1/3/2020,Bolivia
168,Culpables,Manuel Turizo,12850,https://open.spotify.com/track/2zufEOvbBeIzYnRktwYk1W,12/27/2019,1/3/2020,Bolivia
169,Besos En Guerra,Morat,12799,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA,12/27/2019,1/3/2020,Bolivia
170,Baila Conmigo (feat. Kelly Ruiz),Dayvi,12736,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,12/27/2019,1/3/2020,Bolivia
171,Música,DJ Luian,12611,https://open.spotify.com/track/4xvTPuwHaXoDM3p0QcY7bH,12/27/2019,1/3/2020,Bolivia
172,My Oh My (feat. DaBaby),Camila Cabello,12611,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Bolivia
173,Otra vez (feat. J Balvin),Zion & Lennox,12596,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,12/27/2019,1/3/2020,Bolivia
174,El Efecto,Rauw Alejandro,12475,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj,12/27/2019,1/3/2020,Bolivia
175,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,12364,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,12/27/2019,1/3/2020,Bolivia
176,Adore You,Harry Styles,12302,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,Bolivia
177,Si Se Da,Myke Towers,12283,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,12/27/2019,1/3/2020,Bolivia
178,Pegao,CNCO,12282,https://open.spotify.com/track/65HT0L2eAtvbH56XrJqPbf,12/27/2019,1/3/2020,Bolivia
179,Lamento Boliviano,Los Enanitos Verdes,12275,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA,12/27/2019,1/3/2020,Bolivia
180,Hasta Que Salga el Sol,Ozuna,12273,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl,12/27/2019,1/3/2020,Bolivia
181,Nena Maldición (feat. Lenny Tavárez),Paulo Londra,12259,https://open.spotify.com/track/77dMSg2VHi2wwXjXNrmcrZ,12/27/2019,1/3/2020,Bolivia
